,k,v
0,今日は何の日,10月28日
1,1,今日は何の日 10月28日
2,2,宝永地震（1707年 - 宝永4年10月4日）
3,3,萩の乱（1876年）
4,4,ニューヨークの自由の女神像除幕式（1886年）
5,5,伊予鉄道開業。日本初の軽便鉄道（1888年）
6,6,リヒャルト・シュトラウスの『アルプス交響曲』が初演される（1915年）
7,7,チェコスロバキアがオーストリア＝ハンガリー帝国からの独立を宣言（1918年）
8,8,アメリカ議会でボルステッド法（国家禁酒法）が成立（1919年）
9,9,ベニート・ムッソリーニ率いる黒シャツ隊がローマ進軍を開始（1922年）
10,10,第二次世界大戦：ギリシャ・イタリア戦争が勃発（1940年）
11,11,キューバ危機：ソビエト連邦指導者ニキータ・フルシチョフがキューバからのミサイル撤去を発表（1962年）
12,12,中華人民共和国から贈られたパンダが上野動物園に到着（1972年）
13,13,ドーハの悲劇（1993年）
14,14,日経平均株価が取引中にバブル崩壊後の最安値6994円90銭を記録（2008年）
15,from:,https://ja.wikipedia.org/wiki/Wikipedia:%E4%BB%8A%E6%97%A5%E3%81%AF%E4%BD%95%E3%81%AE%E6%97%A5_10%E6%9C%88
