,k,v
0,国際女性デー,
1,1,国際女性デー
2,2,ニューヨーク証券取引所発足（1817年）
3,3,堺事件（1868年 - 慶応4年2月15日）
4,4,ニューヨークで婦人参政権を求めるデモ（1904年）
5,5,ロシアで2月革命開始（1917年）（ユリウス暦2月23日）
6,6,忠犬ハチ公が死亡（1935年）
7,7,デイトナビーチで世界初のストックカーレースが行われる（1936年）
8,8,第二次世界大戦：インパール作戦開始（1944年）
9,9,国際通貨基金（IMF）が業務開始（1947年）
10,10,日米相互防衛援助協定（MSA）調印（1954年）
11,11,シリアでクーデターが起こりバアス党が実権を掌握する（1963年）
12,12,パリ＝シャルル・ド・ゴール空港開港（1974年）
13,13,米大統領ロナルド・レーガンが悪の帝国発言（1983年）
14,14,法廷メモ訴訟の最高裁判決（1989年）
15,15,営団日比谷線中目黒駅構内列車脱線衝突事故（2000年）
16,16,マレーシア航空370便が消息を絶つ（2014年）
17,from:,https://ja.wikipedia.org/wiki/Wikipedia:%E4%BB%8A%E6%97%A5%E3%81%AF%E4%BD%95%E3%81%AE%E6%97%A5_3%E6%9C%88
