,k,v
0,今日は何の日,3月7日
1,1,今日は何の日 3月7日
2,2,161年、ローマ皇帝アントニヌス・ピウスが死去。養子のマルクス・アウレリウス・アントニヌスとルキウス・ウェルスが即位。
3,3,1778年、イギリスの探検家ジェームズ・クック（キャップテン・クック）が、ハワイ諸島の一つカウアイ島に到達。
4,4,1866年（慶応2年1月21日）、薩摩藩と長州藩との間で薩長同盟が成立する。
5,5,1873年、神武天皇即位日を「紀元節」と称することを決定。
6,6,1876年、アレクサンダー・グラハム・ベルが電話機の特許権を獲得する。
7,7,1900年、未成年者喫煙禁止法（現・二十歳未満ノ者ノ喫煙ノ禁止ニ関スル法律）公布。
8,8,1908年、青函連絡船運航開始。
9,9,1914年、ヴィルヘルム・フリードリヒ・ツー・ヴィートがアルバニア公に即位。
10,10,1918年、松下幸之助が大阪市に松下電気器具製作所（現・パナソニック）を創業。
11,11,1919年、東京・日本橋のデパート白木屋を会社化し、株式会社白木屋呉服店（現・東急百貨店）を設立。
12,12,1921年、クロンシュタットの反乱勃発。クロンシュタットの水兵がボリシェヴィキの独裁に対して反乱を起こす。
13,13,1927年、北丹後地震発生。
14,14,1932年、東京都墨田区玉の井の「お歯黒どぶ」から男のバラバラ死体発見（玉の井バラバラ殺人事件）。「バラバラ殺人」の表現の嚆矢。
15,15,1936年、ドイツがロカルノ条約の破棄を宣言してラインラントに進駐。
16,16,1940年、戦争政策批判により衆議院が民政党斎藤隆夫を除名処分
17,17,1945年、第二次世界大戦:アメリカ軍がライン川に残った2つの橋のうちの一つ・ルーデンドルフ橋を確保。
18,18,1945年、ユーゴスラビアでヨシップ・ブロズ・チトーを首班とする人民政府が成立。
19,19,1947年、アメリカ施政下の沖縄県で平良市が市制施行。
20,20,1948年、警察法・消防組織法施行。
21,21,1949年、ドッジ・ライン発表。
22,22,1951年、王子朝鮮人学校事件発生。
23,23,1965年、公民権運動:血の日曜日事件。アメリカ合衆国アラバマ州セルマで公民権運動のデモ隊が、州知事の命令により武力で鎮圧される。
24,24,1968年、石川テレビ放送設立。
25,25,1970年、湘南モノレールが開業。
26,26,1971年、国鉄が山手線の読み方を「やまのてせん」に統一。
27,27,1971年、国鉄長野原線を吾妻線に改称、長野原（現在の長野原草津口）、大前が延伸開業し全通。
28,28,1972年、連合赤軍山岳ベース事件で警官隊により最初の遺体が発見される。
29,29,1977年、第1回アラブ・アフリカ首脳会議がカイロで開催される。
30,30,1980年、山口百恵が三浦友和との婚約と同時に芸能界引退を発表。
31,31,1983年、新潟テレビ21設立。
32,32,2001年、アリエル・シャロンがイスラエルの首相就任。
33,33,2005年、岡山県赤磐市が市制施行。
34,34,2007年、イギリス庶民院で、貴族院に選挙制導入を求める決議案を可決。
35,35,2013年、沖縄県石垣市に新石垣空港が開港。
36,36,2014年、日本一の高層ビルであるあべのハルカスが全面開業。
37,from:,https://ja.wikipedia.org/wiki/3%E6%9C%887%E6%97%A5
