,k,v
0,世界気象デー,
1,1,世界気象デー
2,2,建武の乱：豊島河原合戦（1336年 - 建武3年2月10日）
3,3,ベトナムで胡季犛が少帝から皇位を簒奪し、陳朝が滅亡（1400年）
4,4,天正遣欧少年使節がローマ教皇グレゴリウス13世に公式謁見（1585年 - 天正13年2月22日）
5,5,ロシア皇帝パーヴェル1世が暗殺（ロシア語版）される（1801年 - ユリウス暦3月11日）
6,6,イタリア戦闘者ファッシ（後のファシスト党）結成（1919年）
7,7,ソビエト連邦が満洲国に東清鉄道を有償譲渡する北満鉄道讓渡協定調印（1935年）
8,8,第二次世界大戦（沖縄戦）：ひめゆり学徒隊結成（1945年）
9,9,世界気象機関設立（1950年）
10,10,パキスタンが世界初のイスラム教徒による共和国となる（1956年）
11,11,アメリカ・ユタ大学の2教授が常温核融合に成功したと発表。真偽を巡る論争に発展（1989年）
12,12,中華民国（台湾）で初の総統直接選挙。李登輝が当選（1996年）
13,13,能登半島沖不審船事件。海上警備行動が発令される（1999年）
14,14,土浦連続殺傷事件（2008年）
15,from:,https://ja.wikipedia.org/wiki/Wikipedia:%E4%BB%8A%E6%97%A5%E3%81%AF%E4%BD%95%E3%81%AE%E6%97%A5_3%E6%9C%88
